variant,base_repair_variant,profile,research_only,stock_only,mechanisms_enabled,capital,round_lot,max_positions,max_single_stock_weight,cyclical_max_positions,annual_return,cumulative_return,max_drawdown,sharpe,total_trades,buy_trades,sell_trades,average_exposure,avg_cash_ratio_in_risk_on,largest_single_stock_pnl_contribution,largest_industry_pnl_contribution,defensive_dividend_pnl,cyclical_rotation_pnl,realized_pnl,unrealized_pnl,quality_defensive_fill_candidates,quality_defensive_fill_executed,winner_add_candidates,winner_add_executed,financial_group_cap_blocks,market_regime_review_fills,cash_sleeve_trades,cash_sleeve_pnl,cash_sleeve_data_available,no_raw_signal_risk_on_days,cyclical_disabled_or_blocked_days,executable_account_actionable_ratio,replacement_count,top_watch_only_reasons,auto_trading_approved,broker_integration_enabled,llm_decision_allowed,writes_real_trades,release_profile_replacement,risk_flags,pass_hard_conditions,fail_reasons,distance_to_pass,selection_score
regime_review_balanced_fin1,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap,market_regime_block_review",50000.0,100,5,0.18,0,0.07749246996678072,0.23989209976500003,-0.13897808413627877,0.5206167330539331,7,6,1,0.7110833270786104,0.26500361067310696,0.3406058854907973,0.4461076743941869,12006.8394024,0.0,1356.5259024000018,10650.3135,5,0,0,0,1,4,0,0.0,False,95,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 25, 'WATCH_ONLY_PORTFOLIO_FULL': 1}",False,False,False,False,False,GROUP_CAP_RETURN_TRADEOFF,False,"sharpe,max_drawdown,total_trades",0.717943,0.630622
quality_fill_strict_total1,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,quality_defensive_fill,50000.0,100,5,0.18,0,0.09220511248547858,0.2892958680789999,-0.16859959642319233,0.5851670370666023,8,6,2,0.6416137884599173,0.3277498885001214,0.2430036410717434,0.40874966165466375,14476.5361724,0.0,5754.025672400001,8722.5105,1,1,0,0,0,0,0,0.0,False,94,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 114, 'WATCH_ONLY_PORTFOLIO_FULL': 22, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades",0.778847,0.63607
quality_fill_strict_total2,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,quality_defensive_fill,50000.0,100,5,0.18,0,0.09220511248547858,0.2892958680789999,-0.16859959642319233,0.5851670370666023,8,6,2,0.6416137884599173,0.3277498885001214,0.2430036410717434,0.40874966165466375,14476.5361724,0.0,5754.025672400001,8722.5105,110,1,0,0,0,0,0,0.0,False,94,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 114, 'WATCH_ONLY_PORTFOLIO_FULL': 22, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades",0.778847,0.63607
quality_fill_balanced_total1,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,quality_defensive_fill,50000.0,100,5,0.18,0,0.09220511248547858,0.2892958680789999,-0.16859959642319233,0.5851670370666023,8,6,2,0.6416137884599173,0.3277498885001214,0.2430036410717434,0.40874966165466375,14476.5361724,0.0,5754.025672400001,8722.5105,2,1,0,0,0,0,0,0.0,False,94,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 114, 'WATCH_ONLY_PORTFOLIO_FULL': 22, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades",0.778847,0.63607
quality_fill_balanced_total2,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,quality_defensive_fill,50000.0,100,5,0.18,0,0.0893263934102273,0.27953009300199994,-0.16859959642319233,0.5693089261726673,9,7,2,0.6466404869745545,0.31927711945912135,0.23512350301439086,0.39549470073914417,13991.356672400001,0.0,5754.025672400001,8237.331000000002,312,2,0,0,0,0,0,0.0,False,93,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 114, 'WATCH_ONLY_PORTFOLIO_FULL': 22, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades",0.782634,0.608454
group_cap_fin2_fw30,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap",50000.0,100,5,0.18,0,0.08675629911976035,0.2708522147099999,-0.17225432714343758,0.5626970943247647,9,7,2,0.6094978193155723,0.3690123417294308,0.2439997773252452,0.2516420103048293,13557.082167600001,0.0,4938.5926676,8618.489500000001,344,2,0,0,3,0,0,0.0,False,93,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 142, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on",0.89053,0.588104
group_cap_fin2_fw35,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap",50000.0,100,5,0.18,0,0.08675629911976035,0.2708522147099999,-0.17225432714343758,0.5626970943247647,9,7,2,0.6094978193155723,0.3690123417294308,0.2439997773252452,0.2516420103048293,13557.082167600001,0.0,4938.5926676,8618.489500000001,344,2,0,0,3,0,0,0.0,False,93,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 142, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on",0.89053,0.588104
group_cap_fin1_fw30,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap",50000.0,100,5,0.18,0,0.040241131429853194,0.12037214104499983,-0.12684439910876288,0.41585477701651846,5,5,0,0.6174974994819461,0.31390072792976986,0.5616692405608469,0.5616692405608469,6028.5075000000015,0.0,0.0,6028.5075000000015,4,2,0,0,10,0,0,0.0,False,93,93,1.0,0,"{'WATCH_ONLY_CYCLICAL_DISABLED': 42, 'WATCH_ONLY_DAILY_ADD_LIMIT': 6, 'WATCH_ONLY_PORTFOLIO_FULL': 2, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 1}",False,False,False,False,False,GROUP_CAP_RETURN_TRADEOFF,False,"annual_return,sharpe,max_drawdown,total_trades,largest_single_stock_pnl_contribution,largest_industry_pnl_contribution,realized_pnl",0.920355,0.343833
group_cap_fin1_fw35,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,True,"quality_defensive_fill,financial_group_cap",50000.0,100,5,0.18,0,0.040241131429853194,0.12037214104499983,-0.12684439910876288,0.41585477701651846,5,5,0,0.6174974994819461,0.31390072792976986,0.5616692405608469,0.5616692405608469,6028.5075000000015,0.0,0.0,6028.5075000000015,4,2,0,0,10,0,0,0.0,False,93,93,1.0,0,"{'WATCH_ONLY_CYCLICAL_DISABLED': 42, 'WATCH_ONLY_DAILY_ADD_LIMIT': 6, 'WATCH_ONLY_PORTFOLIO_FULL': 2, 'WATCH_ONLY_INDUSTRY_CONCENTRATION': 1}",False,False,False,False,False,GROUP_CAP_RETURN_TRADEOFF,False,"annual_return,sharpe,max_drawdown,total_trades,largest_single_stock_pnl_contribution,largest_industry_pnl_contribution,realized_pnl",0.920355,0.343833
cash_sleeve_w15_,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,False,cash_sleeve_research,50000.0,100,5,0.18,0,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,0.5933467815083991,0.3645564696506779,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,0,0,0,0,0,0,0,0.0,False,95,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on",0.69579,0.733083
cash_sleeve_w25_,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,False,cash_sleeve_research,50000.0,100,5,0.18,0,0.09802926707249804,0.30920229545199973,-0.1603906044740383,0.6198532526185463,10,7,3,0.5933467815083991,0.3645564696506779,0.2290748014187305,0.41054235951187096,15473.951687599998,0.0,9130.3556876,6343.595999999999,0,0,0,0,0,0,0,0.0,False,95,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 140, 'WATCH_ONLY_DAILY_ADD_LIMIT': 4, 'WATCH_ONLY_PORTFOLIO_FULL': 2}",False,False,False,False,False,,False,"sharpe,max_drawdown,total_trades,avg_cash_ratio_in_risk_on",0.69579,0.733083
cash_sleeve_w25_quality_defensive_fill_winner_add,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,False,"quality_defensive_fill,winner_add,cash_sleeve_research",50000.0,100,5,0.18,0,0.09801354030846987,0.30914827447399995,-0.1701421946950833,0.6065445259335438,10,8,2,0.6742848825839642,0.2756094231571313,0.22738224594749634,0.39540178364474005,15471.089157999999,0.0,5929.0301580000005,9542.059000000001,2,1,15,2,0,0,0,0.0,False,94,93,0.38095238095238093,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 74, 'WATCH_ONLY_PORTFOLIO_FULL': 18, 'WATCH_ONLY_LOT_TOO_EXPENSIVE': 13, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades,executable_account_actionable_ratio",0.716036,0.616969
cash_sleeve_w15_quality_defensive_fill,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,True,False,"quality_defensive_fill,cash_sleeve_research",50000.0,100,5,0.18,0,0.09220511248547858,0.2892958680789999,-0.16859959642319233,0.5851670370666023,8,6,2,0.6416137884599173,0.3277498885001214,0.2430036410717434,0.40874966165466375,14476.5361724,0.0,5754.025672400001,8722.5105,2,1,0,0,0,0,0,0.0,False,94,93,1.0,1,"{'WATCH_ONLY_CYCLICAL_DISABLED': 114, 'WATCH_ONLY_PORTFOLIO_FULL': 22, 'WATCH_ONLY_DAILY_ADD_LIMIT': 1}",False,False,False,False,False,QUALITY_FILL_OVERTRADING_OR_LOW_EDGE,False,"sharpe,max_drawdown,total_trades",0.778847,0.63607
